Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Version
NSRDB,20012,-,-,-,26.25,73.05,5.5,0,5.5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,unknown
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Wind Speed,Pressure
2022,1,11,10,30,522,143,719,27,0.1,9840
2022,1,11,11,30,641,157,777,30,0.2,9830
2022,1,11,12,30,694,162,799,31,0.2,9820
2022,1,11,13,30,678,160,793,31,0.2,9810
2022,1,11,14,30,591,151,756,30,0.2,9800
2022,1,11,15,30,445,133,676,29,0.2,9800
2022,1,11,16,30,256,101,519,26,0.2,9800
2022,1,11,17,30,45,41,38,23,0.2,9800
2022,1,11,18,30,0,0,0,22,0.2,9800
2022,1,11,19,30,0,0,0,21,0.2,9810
2022,1,11,20,30,0,0,0,20,0.2,9810
2022,1,11,21,30,0,0,0,19,0.2,9810
2022,1,11,22,30,0,0,0,19,0.1,9810
2022,1,11,23,30,0,0,0,18,0.1,9810
2022,1,12,0,30,0,0,0,17,0.1,9810
2022,1,12,1,30,0,0,0,17,0.1,9800
2022,1,12,2,30,0,0,0,16,0.2,9800
2022,1,12,3,30,0,0,0,16,0.2,9800
2022,1,12,4,30,0,0,0,15,0.2,9800
2022,1,12,5,30,0,0,0,14,0.2,9800
2022,1,12,6,30,0,0,0,14,0.2,9810
2022,1,12,7,30,0,0,0,15,0.2,9820
2022,1,12,8,30,149,83,324,18,0.2,9830
2022,1,12,9,30,348,118,599,22,0.2,9830
2022,1,12,10,30,500,160,644,25,0.3,9830
2022,1,12,11,30,577,220,572,27,0.3,9820
2022,1,12,12,30,689,161,790,28,0.3,9810
2022,1,12,13,30,672,160,783,27,0.4,9800
2022,1,12,14,30,586,150,745,27,0.4,9800
2022,1,12,15,30,441,132,664,25,0.4,9790
2022,1,12,16,30,240,122,389,23,0.4,9800
2022,1,12,17,30,60,45,134,21,0.3,9800
2022,1,12,18,30,0,0,0,20,0.3,9810
2022,1,12,19,30,0,0,0,19,0.3,9820
2022,1,12,20,30,0,0,0,18,0.2,9830
2022,1,12,21,30,0,0,0,17,0.2,9830
2022,1,12,22,30,0,0,0,16,0.1,9830
2022,1,12,23,30,0,0,0,15,0.1,9830
2022,1,13,0,30,0,0,0,15,0.1,9820
2022,1,13,1,30,0,0,0,14,0.1,9820
2022,1,13,2,30,0,0,0,13,0.1,9820
2022,1,13,3,30,0,0,0,13,0.1,9820
2022,1,13,4,30,0,0,0,12,0.1,9820
2022,1,13,5,30,0,0,0,12,0.1,9830
2022,1,13,6,30,0,0,0,11,0.1,9840
2022,1,13,7,30,0,0,0,13,0.1,9850
2022,1,13,8,30,154,79,368,16,0.1,9860
2022,1,13,9,30,351,118,605,20,0.1,9870
2022,1,13,10,30,516,143,706,23,0.2,9860
2022,1,13,11,30,635,153,769,24,0.2,9850
2022,1,13,12,30,711,164,817,25,0.2,9840
2022,1,13,13,30,695,163,810,25,0.2,9830
2022,1,13,14,30,608,153,774,24,0.2,9820
2022,1,13,15,30,456,133,689,23,0.2,9810
2022,1,13,16,30,261,132,420,20,0.2,9810
2022,1,13,17,30,47,43,33,17,0.2,9820
2022,1,13,18,30,0,0,0,16,0.3,9830
2022,1,13,19,30,0,0,0,15,0.3,9840
2022,1,13,20,30,0,0,0,13,0.3,9840
2022,1,13,21,30,0,0,0,12,0.3,9840
2022,1,13,22,30,0,0,0,11,0.3,9840
2022,1,13,23,30,0,0,0,10,0.3,9840
2022,1,14,0,30,0,0,0,9,0.3,9830
2022,1,14,1,30,0,0,0,8,0.3,9830
2022,1,14,2,30,0,0,0,8,0.3,9830
2022,1,14,3,30,0,0,0,7,0.2,9830
2022,1,14,4,30,0,0,0,7,0.2,9830
2022,1,14,5,30,0,0,0,6,0.2,9830
2022,1,14,6,30,0,0,0,6,0.1,9840
2022,1,14,7,30,0,0,0,7,0.1,9850
2022,1,14,8,30,155,80,370,10,0.0,9860
2022,1,14,9,30,358,116,627,15,0.1,9870
2022,1,14,10,30,518,142,709,18,0.1,9870
2022,1,14,11,30,615,177,697,20,0.2,9860
2022,1,14,12,30,672,181,731,21,0.2,9850
2022,1,14,13,30,668,179,742,22,0.2,9840
2022,1,14,14,30,567,173,666,21,0.2,9830
2022,1,14,15,30,436,144,619,20,0.2,9830
2022,1,14,16,30,258,136,396,17,0.2,9830
2022,1,14,17,30,45,42,20,14,0.2,9830
2022,1,14,18,30,0,0,0,13,0.2,9840
2022,1,14,19,30,0,0,0,12,0.2,9850
2022,1,14,20,30,0,0,0,11,0.2,9850
2022,1,14,21,30,0,0,0,11,0.2,9850
2022,1,14,22,30,0,0,0,10,0.2,9850
2022,1,14,23,30,0,0,0,9,0.2,9850
2022,1,15,0,30,0,0,0,8,0.2,9840
2022,1,15,1,30,0,0,0,8,0.3,9840
2022,1,15,2,30,0,0,0,7,0.3,9840
2022,1,15,3,30,0,0,0,7,0.3,9840
