TMY3 data for calama
calama, -22.47, -68.93, -4, 0, TMY3, W/m2, C, %, m/s, deg, mm
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,DryBulb,DewPoint,RelativeHumidity,Pressure,WindSpeed,WindDirection
2014,1,4,7,0,105.86,199.52000000000004,104.8,14.2,14.2,100.0,850.0,1.9,85.5
2014,1,4,8,0,287.5,416.36000000000007,113.0,17.2,17.2,66.8,850.0,0.9,88.5
2014,1,4,9,0,499.18000000000006,637.44,112.96,19.3,19.3,74.3,850.0,2.5,130.5
2014,1,4,10,0,709.78,858.8200000000002,103.88,50.0,20.8,70.9,850.0,5.2,234.0
2014,1,4,11,0,949.78,887.0800000000002,105.24,20.9,20.9,65.9,850.0,7.5,243.0
2014,1,4,12,0,1080.86,1105.9,33.7,22.0,22.0,66.8,850.0,8.6,249.0
2014,1,4,13,0,1092.42,1107.4400000000005,33.8,23.0,23.0,63.4,850.0,8.6,250.5
2014,1,4,14,0,1036.48,1098.52,41.78,24.0,24.0,50.7,850.0,8.1,253.5
2014,1,4,15,0,842.4200000000001,877.54,66.74000000000001,23.9,23.9,41.1,850.0,8.0,253.5
2014,1,4,16,0,608.5000000000001,656.1,63.78,23.5,23.5,37.2,850.0,7.4,252.0
2014,1,4,17,0,400.08,531.86,58.540000000000006,22.1,22.1,34.8,850.0,6.6,250.5
2014,1,4,18,0,206.88,313.48,50.24000000000001,19.9,19.9,30.7,850.0,5.9,246.0
2014,1,4,19,0,51.1,101.32,42.260000000000005,0.0,18.0,0.0,850.0,4.8,250.5
2014,1,4,20,0,16.6,99.3,8.780000000000001,16.8,16.8,24.9,850.0,3.2,252.75
2014,1,4,21,0,250.52,97.54,3.2200000000000006,15.5,15.5,21.5,850.0,1.4,255.0
2014,1,4,22,0,240.0,0.0,0.0,15.0,15.0,21.3,850.0,1.0,249.0
2014,1,4,23,0,240.0,0.0,0.0,14.7,30.0,24.3,850.0,1.1,210.0
2014,1,5,0,0,240.0,0.0,0.0,14.1,14.1,28.0,850.0,1.4,193.5
2014,1,5,1,0,240.0,0.0,0.0,13.7,13.7,35.7,850.0,1.1,82.5
2014,1,5,2,0,0.0,0.0,0.0,0.0,13.0,44.6,850.0,1.4,88.5
2014,1,5,3,0,0.0,0.0,0.0,12.7,12.7,48.4,850.0,2.0,97.5
2014,1,5,4,0,0.0,0.0,0.0,11.9,11.9,43.9,850.0,1.7,84.0
2014,1,5,5,0,19.02,1.6,18.680000000000003,11.1,11.1,41.9,850.0,1.8,87.0
2014,1,5,6,0,111.22,196.52,25.860000000000003,0.0,12.8,48.1,850.0,1.8,84.0
2014,1,5,7,0,251.8,405.9,33.72,15.3,15.3,0.0,850.0,1.5,88.5
2014,1,5,8,0,433.42,623.02,41.96,18.0,18.0,62.4,850.0,1.0,100.5
2014,1,5,9,0,645.34,844.48,50.400000000000006,50.0,19.5,100.0,850.0,3.5,193.5
2014,1,5,10,0,855.5200000000001,847.98,40.28,21.0,21.0,69.1,850.0,6.0,238.5
2014,1,5,11,0,995.4,851.48,41.68,21.2,21.2,65.4,850.0,0.0,244.5
2014,1,5,12,0,1075.16,854.98,42.32,21.8,21.8,66.0,850.0,8.6,249.0
2014,1,5,13,0,1088.46,858.48,42.42,22.6,22.6,62.3,850.0,8.8,250.5
2014,1,5,14,0,1034.2200000000005,861.98,42.040000000000006,23.4,23.4,50.0,850.0,8.4,252.0
2014,1,5,15,0,805.0200000000002,865.48,41.00000000000001,23.9,23.9,42.2,850.0,8.1,249.0
2014,1,5,16,0,632.86,820.6999999999999,38.84000000000001,23.5,23.5,40.7,850.0,7.7,250.5
2014,1,5,17,0,423.36,697.6,33.620000000000005,22.3,22.3,39.3,850.0,7.4,250.5
2014,1,5,18,0,228.44000000000003,697.6,25.280000000000005,20.2,20.2,34.6,850.0,6.5,247.5
2014,1,5,19,0,70.76,483.14,17.220000000000002,17.9,17.9,31.6,850.0,5.3,249.0
2014,1,5,20,0,70.76,279.36,9.7,15.9,15.9,29.4,1100.0,3.7,256.5
2014,1,5,21,0,10.840000000000002,99.96,3.28,14.0,14.0,24.4,850.0,2.5,258.0
2014,1,5,22,0,0.0,0.0,0.0,12.5,12.5,23.4,850.0,1.3,244.5
2014,1,5,23,0,0.0,0.0,0.0,11.1,11.1,25.2,850.0,1.1,231.0
2014,1,6,0,0,0.0,0.0,0.0,10.1,10.1,27.6,1100.0,1.7,202.5
2014,1,6,1,0,0.0,0.0,0.0,9.1,9.1,34.1,850.0,2.1,82.5
2014,1,6,2,0,0.0,0.0,0.0,8.4,8.4,40.8,1100.0,2.5,63.0
2014,1,6,3,0,0.0,0.0,0.0,7.9,7.9,43.5,850.0,2.6,69.0
2014,1,6,4,0,0.0,0.0,0.0,6.9,6.9,41.2,850.0,2.6,76.5
2014,1,6,5,0,41.72,166.06,5.78,7.6,0.0,41.9,850.0,2.7,81.0
2014,1,6,6,0,135.52,166.06,13.02,9.6,9.6,48.7,850.0,3.3,78.0
2014,1,6,7,0,278.52,379.7000000000001,20.94,13.0,13.0,54.4,850.0,2.8,78.0
2014,1,6,8,0,463.2,600.9000000000001,29.22,16.8,16.8,62.9,850.0,1.4,79.5
2014,1,6,9,0,703.2,826.3800000000001,29.22,19.2,19.2,69.4,850.0,2.6,97.5
2014,1,6,10,0,661.48,887.5400000000001,32.02,20.7,20.7,65.9,850.0,5.7,238.5
2014,1,6,11,0,802.9200000000001,1114.84,33.36,21.5,21.5,60.8,850.0,7.6,243.0
2014,1,6,12,0,882.94,1126.96,33.96,22.2,22.2,60.4,850.0,8.9,247.5
2014,1,6,13,0,895.28,1128.16,34.04,23.0,23.0,56.1,850.0,8.9,249.0
2014,1,6,14,0,814.46,1118.98,42.1,24.4,24.4,43.4,850.0,8.5,252.0
2014,1,6,15,0,1054.46,1096.92,41.040000000000006,25.1,25.1,34.2,850.0,8.2,250.5
2014,1,6,16,0,880.12,1051.54,38.92000000000001,24.8,24.8,30.5,850.0,7.7,253.5
2014,1,6,17,0,668.4200000000001,929.82,33.760000000000005,23.9,23.9,28.6,850.0,7.2,252.0
2014,1,6,18,0,471.4,707.4200000000001,25.4,21.7,21.7,25.7,850.0,6.2,250.5
2014,1,6,19,0,312.22,491.12000000000006,17.34,19.4,19.4,22.9,850.0,5.1,249.0
2014,1,6,20,0,72.22,285.96000000000004,9.82,17.5,17.5,20.5,850.0,3.2,255.0
2014,1,6,21,0,11.32,104.04000000000002,3.3600000000000003,15.7,15.7,18.6,1100.0,1.4,258.0
2014,1,6,22,0,0.0,0.0,0.0,14.4,14.4,18.5,975.0,1.1,247.5
2014,1,6,23,0,0.0,0.0,0.0,12.9,12.9,21.8,850.0,1.9,228.0
2014,1,7,0,0,0.0,0.0,0.0,11.7,11.7,25.8,850.0,2.1,144.0
2014,1,7,1,0,0.0,0.0,0.0,10.7,10.7,32.8,850.0,2.3,75.0
2014,1,7,2,0,0.0,0.0,0.0,9.6,9.6,40.7,850.0,2.7,67.5
2014,1,7,3,0,0.0,0.0,0.0,9.0,9.0,45.1,850.0,2.9,73.5
2014,1,7,4,0,0.0,0.0,0.0,7.8,7.8,43.0,850.0,3.0,78.0
2014,1,7,5,0,41.400000000000006,166.64,5.74,8.6,-8.6,42.2,850.0,3.2,81.0
2014,1,7,6,0,135.0,366.58,12.96,10.6,2.549999999999999,48.6,850.0,3.6,78.0
2014,1,7,7,0,277.84000000000003,580.5400000000001,20.86,13.7,13.7,54.3,1100.0,3.0,78.0
2014,1,7,8,0,462.2800000000001,801.8400000000001,29.12,17.5,17.5,62.2,850.0,1.6,81.0
2014,1,7,9,0,677.4200000000001,1027.16,37.58,19.6,19.6,65.6,850.0,2.6,94.5
2014,1,7,10,0,868.4399999999999,1087.58,40.400000000000006,21.0,21.0,62.7,850.0,0.0,232.5
2014,1,7,11,0,1009.94,1114.78,41.76,21.8,21.8,59.1,850.0,7.7,241.5
2014,1,7,12,0,1090.06,1126.42,42.38,22.700000000000003,22.7,58.7,850.0,8.8,246.0
2014,1,7,13,0,1102.5,1127.16,42.46000000000001,23.6,23.6,54.8,850.0,0.0,247.5
2014,1,7,14,0,1046.34,1117.5600000000002,42.040000000000006,24.700000000000003,24.9,43.0,850.0,8.3,249.0
2014,1,7,15,0,926.16,1094.94,40.98,25.8,25.8,34.1,850.0,8.1,250.5
2014,1,7,16,0,752.08,1049.56,38.86000000000001,25.3,25.3,29.1,850.0,7.7,252.0
2014,1,7,17,0,540.6,929.08,47.14,0.0,24.2,27.1,850.0,7.3,252.0
2014,1,7,18,0,343.72,707.0400000000001,38.8,21.9,21.9,24.5,850.0,6.6,250.5
2014,1,7,19,0,184.74,491.3200000000001,30.76,-19.5,19.5,21.7,850.0,5.5,253.5
2014,1,7,20,0,72.50000000000001,286.88,23.26,17.6,17.6,19.3,850.0,3.9,256.5
2014,1,7,21,0,11.48,105.12,16.8,15.9,15.9,17.5,850.0,2.3,256.5
2014,1,7,22,0,0.0,0.0,0.0,14.6,14.6,17.3,850.0,1.3,253.5
2014,1,7,23,0,0.0,0.0,0.0,13.2,13.2,20.3,850.0,1.3,237.0
2014,1,8,0,0,0.0,0.0,0.0,12.3,12.3,24.5,850.0,1.4,190.5
2014,1,8,1,0,0.0,0.0,0.0,11.6,11.6,31.1,850.0,1.9,82.5
2014,1,8,2,0,0.0,0.0,0.0,10.5,10.5,38.9,850.0,2.0,72.0
2014,1,8,3,0,0.0,0.0,0.0,0.0,9.6,45.4,850.0,100.0,79.5
2014,1,8,4,0,0.0,0.0,0.0,8.1,8.1,44.3,850.0,2.2,79.5
2014,1,8,5,0,40.38,163.88,5.7,7.6,7.6,44.1,850.0,2.5,87.0
2014,1,8,6,0,132.68,361.76,12.9,9.3,9.3,50.8,850.0,3.1,84.0
2014,1,8,7,0,221.02,364.8,92.9,12.5,12.5,56.2,850.0,2.9,79.5
2014,1,8,8,0,403.9,584.5,101.16,15.8,15.8,64.7,850.0,1.4,81.0
2014,1,8,9,0,617.48,808.28,109.64,18.3,18.3,69.3,850.0,1.9,91.5
2014,1,8,10,0,807.8800000000001,869.8600000000001,112.5,19.7,19.7,67.2,850.0,4.8,237.0
2014,1,8,11,0,949.0400000000002,897.44,148.20000000000002,20.5,20.5,63.6,850.0,7.0,241.5
2014,1,8,12,0,1082.16,1118.2800000000002,76.70000000000002,21.3,21.3,64.9,850.0,8.1,247.5
2014,1,8,13,0,1094.92,1118.96,76.78,22.4,22.4,60.6,850.0,8.5,249.0
2014,1,8,14,0,1039.38,1109.3200000000002,76.34000000000002,23.7,23.7,47.0,850.0,8.2,252.0
2014,1,8,15,0,920.24,1086.72,75.28000000000002,24.7,24.7,37.3,850.0,8.1,249.0
2014,1,8,16,0,686.7800000000001,1041.38,38.82000000000001,24.1,24.1,33.1,850.0,7.6,252.0
2014,1,8,17,0,476.7600000000001,921.18,33.68000000000001,22.5,22.5,30.6,850.0,7.0,247.5
2014,1,8,18,0,281.12000000000006,700.8,25.340000000000003,20.2,20.2,27.2,850.0,6.0,247.5
2014,1,8,19,0,123.08,486.66,17.3,18.2,18.2,24.6,850.0,4.8,253.5
2014,1,8,20,0,11.44,283.8,9.8,16.8,16.8,22.7,850.0,2.8,261.0
2014,1,8,21,0,11.44,103.68,83.36,14.9,14.9,20.2,850.0,1.8,264.0
2014,1,8,22,0,0.0,0.0,80.0,13.8,13.8,20.2,850.0,1.1,246.0
2014,1,8,23,0,240.0,0.0,160.0,12.7,12.7,22.8,850.0,0.4,0.0
2014,1,9,0,0,240.0,0.0,160.0,11.5,11.5,26.3,850.0,0.8,360.0
2014,1,9,1,0,240.0,0.0,160.0,50.0,10.4,32.7,850.0,1.5,102.0
2014,1,9,2,0,240.0,0.0,80.0,9.2,-9.2,39.2,850.0,1.9,84.0
2014,1,9,3,0,240.0,0.0,80.0,8.4,8.4,40.5,850.0,2.7,76.5
2014,1,9,4,0,0.0,0.0,0.0,7.8,7.85,37.5,850.0,0.0,78.0
2014,1,9,5,0,15.340000000000002,1.6,15.0,7.3,7.3,38.9,850.0,2.8,84.0
2014,1,9,6,0,106.34,197.56,22.12,9.2,9.2,44.1,850.0,3.0,82.5
2014,1,9,7,0,246.3,408.2000000000001,29.96,-12.6,12.6,49.3,850.0,2.8,82.5
